
from/to duration price
+1009999999|+1000000000|22|5
+1009999999|+1000000000|22|8
+2222222|+100000|16|10
+1555555555|+1444444444|12|9
+1808880888|+4440444044|42|11
+1234567|+1555555|31|8
+15432109871|+1333333333|6|20
+1111111111|+22222221|59|13
+1222222222|+1999999999|39|10
+122222|+9876543211|16|13
+13333333331|+1444444444|60|2
+189012341|+12222222|47|3
+1999999999|+1112121112111|17|3
+1999349999|+111281112111|100|2
+1999349999|+1112881112111|24|8
+1999349999|+11128881112111|24|8
+1999349999|+1123123881112111|26|14
+100000|+1999999|31|13
+1789012345|+166662662666|37|15
+1111111111|+1888888888|59|18
+245671|+1999299992299|13|15
+98765432111|+1111111111|34|18
+1333333333|+1444444444|60|2
+4444444444|+199929992999|48|13
